title,domestic_gross_x,foreign_gross,vote_average,vote_count,release_month,production_budget,domestic_gross_y,worldwide_gross,movie_id,genres,averagerating,numvotes
Toy Story 3,415000000.0,652000000.0,7.7,8340,6,200000000.0,415004880.0,1068879522.0,tt0435761,"Adventure,Animation,Comedy",8.3,682218
Inception,292600000.0,535700000.0,8.3,22186,7,160000000.0,292576195.0,835524642.0,tt1375666,"Action,Adventure,Sci-Fi",8.8,1841066
Shrek Forever After,238700000.0,513900000.0,6.1,3843,5,165000000.0,238736787.0,756244673.0,tt0892791,"Adventure,Animation,Comedy",6.3,167532
The Twilight Saga: Eclipse,300500000.0,398000000.0,6.0,4909,6,68000000.0,300531751.0,706102828.0,tt1325004,"Adventure,Drama,Fantasy",5.0,211733
Iron Man 2,312400000.0,311500000.0,6.8,12368,5,170000000.0,312433331.0,621156389.0,tt1228705,"Action,Adventure,Sci-Fi",7.0,657690
Tangled,200800000.0,391000000.0,7.5,6407,11,260000000.0,200821936.0,586477240.0,tt0398286,"Adventure,Animation,Comedy",7.8,366366
Despicable Me,251500000.0,291600000.0,7.2,10057,7,69000000.0,251513985.0,543464573.0,tt1323594,"Animation,Comedy,Family",7.7,464511
How to Train Your Dragon,217600000.0,277300000.0,7.7,7610,3,165000000.0,217581232.0,494870992.0,tt0892769,"Action,Adventure,Animation",8.1,611299
The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000.0,311300000.0,6.3,3196,12,155000000.0,104386950.0,418186950.0,tt0980970,"Adventure,Family,Fantasy",6.3,129663
The Karate Kid,176600000.0,182500000.0,6.3,3140,6,40000000.0,176591618.0,351774938.0,tt1155076,"Action,Drama,Family",6.2,146401
The Karate Kid,176600000.0,182500000.0,6.3,3140,6,8000000.0,90815558.0,90815558.0,tt1155076,"Action,Drama,Family",6.2,146401
Black Swan,107000000.0,222400000.0,7.6,8374,12,13000000.0,106954678.0,331266710.0,tt0947798,"Drama,Thriller",8.0,648854
Megamind,148400000.0,173500000.0,6.8,3635,11,130000000.0,148415853.0,321887208.0,tt1001526,"Action,Animation,Comedy",7.3,207488
Robin Hood,105300000.0,216400000.0,6.3,2569,5,210000000.0,105487148.0,322459006.0,tt0955308,"Action,Adventure,Drama",6.6,239480
Robin Hood,105300000.0,216400000.0,6.3,2569,5,210000000.0,105487148.0,322459006.0,tt4532826,"Action,Adventure,Thriller",5.3,41588
Robin Hood,105300000.0,216400000.0,6.3,2569,5,99000000.0,30824628.0,84747441.0,tt0955308,"Action,Adventure,Drama",6.6,239480
Robin Hood,105300000.0,216400000.0,6.3,2569,5,99000000.0,30824628.0,84747441.0,tt4532826,"Action,Adventure,Thriller",5.3,41588
Robin Hood,105300000.0,216400000.0,5.7,3,1,210000000.0,105487148.0,322459006.0,tt0955308,"Action,Adventure,Drama",6.6,239480
Robin Hood,105300000.0,216400000.0,5.7,3,1,210000000.0,105487148.0,322459006.0,tt4532826,"Action,Adventure,Thriller",5.3,41588
Robin Hood,105300000.0,216400000.0,5.7,3,1,99000000.0,30824628.0,84747441.0,tt0955308,"Action,Adventure,Drama",6.6,239480
Robin Hood,105300000.0,216400000.0,5.7,3,1,99000000.0,30824628.0,84747441.0,tt4532826,"Action,Adventure,Thriller",5.3,41588
Robin Hood,105300000.0,216400000.0,5.8,1194,11,210000000.0,105487148.0,322459006.0,tt0955308,"Action,Adventure,Drama",6.6,239480
Robin Hood,105300000.0,216400000.0,5.8,1194,11,210000000.0,105487148.0,322459006.0,tt4532826,"Action,Adventure,Thriller",5.3,41588
Robin Hood,105300000.0,216400000.0,5.8,1194,11,99000000.0,30824628.0,84747441.0,tt0955308,"Action,Adventure,Drama",6.6,239480
Robin Hood,105300000.0,216400000.0,5.8,1194,11,99000000.0,30824628.0,84747441.0,tt4532826,"Action,Adventure,Thriller",5.3,41588
The Last Airbender,131800000.0,187900000.0,4.6,2143,7,150000000.0,131772187.0,319713881.0,tt0938283,"Action,Adventure,Family",4.1,137734
Little Fockers,148400000.0,162200000.0,5.6,1883,12,100000000.0,148438600.0,310650574.0,tt0970866,"Comedy,Romance",5.5,99222
Resident Evil: Afterlife,60100000.0,240100000.0,5.9,2119,9,57500000.0,60128566.0,295874190.0,tt1220634,"Action,Adventure,Horror",5.9,153270
Shutter Island,128000000.0,166800000.0,8.1,12625,2,80000000.0,128012934.0,299461782.0,tt1130884,"Mystery,Thriller",8.1,1005960
Salt,118300000.0,175200000.0,6.3,3240,7,130000000.0,118311368.0,290650494.0,tt0944835,"Action,Mystery,Thriller",6.4,277204
Salt,118300000.0,175200000.0,1.0,1,8,130000000.0,118311368.0,290650494.0,tt0944835,"Action,Mystery,Thriller",6.4,277204
Sex and the City 2,95300000.0,193000000.0,5.9,809,5,95000000.0,95347692.0,294680778.0,tt1261945,"Comedy,Drama,Romance",4.4,69199
The Tourist,67600000.0,210700000.0,6.1,3133,12,100000000.0,67631157.0,278731369.0,tt1243957,"Action,Adventure,Thriller",6.0,206714
The Expendables,103100000.0,171400000.0,6.1,4647,8,82000000.0,103068524.0,268268174.0,tt1320253,"Action,Adventure,Thriller",6.5,307897
Grown Ups,162000000.0,109400000.0,6.1,3171,6,75000000.0,162001186.0,272223430.0,tt1375670,Comedy,6.0,210377
True Grit,171200000.0,81000000.0,7.2,2816,12,35000000.0,171243005.0,252276928.0,tt1403865,"Adventure,Drama,Western",7.6,284034
Gulliver's Travels,42800000.0,194600000.0,5.1,1282,12,112000000.0,42779261.0,232017848.0,tt1320261,"Adventure,Comedy,Family",4.9,61178
The Social Network,97000000.0,128000000.0,7.2,6116,10,40000000.0,96962694.0,224922135.0,tt1285016,"Biography,Drama",7.7,568578
Valentine's Day,110500000.0,106000000.0,5.8,1907,2,52000000.0,110485654.0,217569328.0,tt0817230,"Comedy,Romance",5.7,107171
The Sorcerer's Apprentice,63200000.0,152100000.0,5.9,2879,7,160000000.0,63150991.0,217986320.0,tt0963966,"Action,Adventure,Family",6.1,143862
Due Date,100500000.0,111200000.0,6.3,2973,11,65000000.0,100539043.0,211739043.0,tt1231583,"Adventure,Comedy",6.5,303523
Eat Pray Love,80600000.0,124000000.0,6.0,1208,8,60000000.0,80574010.0,206598789.0,tt0879870,"Drama,Romance",5.8,77709
Yogi Bear,100200000.0,101300000.0,5.3,387,12,80000000.0,100246011.0,204774690.0,tt1302067,"Adventure,Animation,Comedy",4.6,18934
Paranormal Activity 2,84800000.0,92800000.0,5.7,1342,10,3000000.0,84752907.0,177512032.0,tt1536044,Horror,5.7,93122
The A-Team,77200000.0,100000000.0,6.3,2703,6,110000000.0,77222099.0,177241171.0,tt0429493,"Action,Adventure,Thriller",6.8,235256
The Other Guys,119200000.0,51200000.0,6.2,2187,8,100000000.0,119219978.0,170936470.0,tt1386588,"Action,Comedy,Crime",6.7,221664
Unstoppable,81600000.0,86200000.0,6.4,1913,11,95000000.0,81562942.0,165720921.0,tt0477080,"Action,Thriller",6.8,173019
Unstoppable,81600000.0,86200000.0,6.4,1913,11,95000000.0,81562942.0,165720921.0,tt9225192,"Action,Crime",6.5,576
Unstoppable,81600000.0,86200000.0,1.6,4,9,95000000.0,81562942.0,165720921.0,tt0477080,"Action,Thriller",6.8,173019
Unstoppable,81600000.0,86200000.0,1.6,4,9,95000000.0,81562942.0,165720921.0,tt9225192,"Action,Crime",6.5,576
The Book of Eli,94800000.0,62300000.0,6.7,3495,1,80000000.0,94835059.0,158750817.0,tt1037705,"Action,Adventure,Drama",6.9,271307
The Town,92200000.0,61800000.0,7.1,2386,9,37000000.0,92186262.0,152566881.0,tt0840361,"Crime,Drama,Thriller",7.6,322524
Date Night,98700000.0,53600000.0,6.0,1743,4,55000000.0,98711404.0,152269033.0,tt1279935,"Comedy,Crime,Romance",6.3,144683
Legend of the Guardians: The Owls of Ga'Hoole,55700000.0,84400000.0,6.6,1223,9,100000000.0,55675313.0,139716717.0,tt1219342,"Action,Adventure,Animation",7.0,73790
The Wolfman,62000000.0,77800000.0,5.7,1009,2,150000000.0,62189884.0,142634358.0,tt0780653,"Drama,Fantasy,Horror",5.8,97873
The Bounty Hunter,67099999.0,69300000.0,5.7,1627,3,45000000.0,67061228.0,135808837.0,tt1038919,"Action,Comedy,Romance",5.6,112444
The Fighter,93600000.0,35600000.0,7.3,2325,12,11000000.0,93617009.0,129262388.0,tt0964517,"Biography,Drama,Sport",7.8,316539
Predators,52000000.0,75200000.0,6.1,1979,7,40000000.0,52000688.0,127234389.0,tt1424381,"Action,Adventure,Sci-Fi",6.4,199764
Dear John,80000000.0,35000000.0,6.8,2676,2,25000000.0,80014842.0,142033509.0,tt0989757,"Drama,Romance,War",6.3,128657
Cats & Dogs: The Revenge of Kitty Galore,43600000.0,68900000.0,4.9,273,7,85000000.0,43585753.0,113026383.0,tt1287468,"Action,Comedy,Family",4.3,12642
Tooth Fairy,60000000.0,52400000.0,5.3,1058,1,48000000.0,60022256.0,112610386.0,tt0808510,"Comedy,Family,Fantasy",5.0,37939
Tooth Fairy,60000000.0,52400000.0,5.3,1058,1,48000000.0,60022256.0,112610386.0,tt7906260,Horror,2.6,64
Hereafter,32700000.0,72500000.0,5.9,848,10,50000000.0,32746941.0,108660270.0,tt1212419,"Drama,Fantasy,Romance",6.5,87288
The Girl with the Dragon Tattoo,10100000.0,94300000.0,7.3,3971,12,90000000.0,102515793.0,239373970.0,tt1568346,"Crime,Drama,Mystery",7.8,387580
Killers,47100000.0,51100000.0,5.8,1314,6,75000000.0,47059963.0,95572749.0,tt1103153,"Action,Comedy,Romance",5.4,82237
Killers,47100000.0,51100000.0,5.8,1314,6,75000000.0,47059963.0,95572749.0,tt2409300,"Action,Crime,Drama",6.5,4472
Kick-Ass,48100000.0,48100000.0,7.1,7540,4,28000000.0,48071303.0,97531134.0,tt1250777,"Action,Comedy",7.6,497363
Green Zone,35100000.0,59800000.0,6.4,1176,3,100000000.0,35497337.0,97523020.0,tt0947810,"Action,Drama,Thriller",6.8,122132
Get Him to the Greek,61000000.0,30300000.0,5.9,980,6,40000000.0,61153526.0,91455875.0,tt1226229,"Adventure,Comedy,Music",6.4,161653
Burlesque,39400000.0,50100000.0,7.1,1195,11,55000000.0,39440655.0,90552675.0,tt1126591,"Drama,Music,Musical",6.4,71021
The Last Song,63000000.0,26100000.0,7.2,2199,3,20000000.0,62950384.0,92678948.0,tt1294226,"Drama,Music,Romance",6.0,74914
Dinner for Schmucks,73000000.0,13800000.0,5.6,920,7,69000000.0,73026337.0,86796502.0,tt0427152,Comedy,5.9,91546
Marmaduke,33600000.0,50100000.0,5.1,367,6,50000000.0,33644788.0,89895930.0,tt1392197,"Comedy,Family",4.2,13283
Piranha 3D,25000000.0,58200000.0,5.3,1029,8,24000000.0,25003155.0,83660160.0,tt0464154,"Comedy,Horror",5.4,81327
Edge of Darkness,43300000.0,37800000.0,6.3,794,1,60000000.0,43313890.0,82812456.0,tt1226273,"Crime,Drama,Mystery",6.6,84753
Edge of Darkness,43300000.0,37800000.0,7.0,1,11,60000000.0,43313890.0,82812456.0,tt1226273,"Crime,Drama,Mystery",6.6,84753
Vampires Suck,36700000.0,43900000.0,4.1,658,8,20000000.0,36661504.0,81424988.0,tt1666186,Comedy,3.4,43984
Letters to Juliet,53000000.0,26100000.0,6.9,1706,5,30000000.0,53032453.0,82148538.0,tt0892318,"Adventure,Comedy,Drama",6.6,86137
Diary of a Wimpy Kid,64000000.0,11700000.0,6.0,736,3,15000000.0,64003625.0,76954311.0,tt1196141,"Comedy,Drama,Family",6.2,38640
Easy A,58400000.0,16600000.0,6.8,4168,9,8000000.0,58401464.0,76200721.0,tt1282140,"Comedy,Drama,Romance",7.1,330125
Takers,57700000.0,11300000.0,6.2,605,8,32000000.0,57744720.0,70587268.0,tt1135084,"Action,Crime,Thriller",6.2,53377
The American,35600000.0,32299999.0,5.8,690,9,20000000.0,35606376.0,67950723.0,tt1440728,"Crime,Drama,Thriller",6.3,86863
The Last Exorcism,41000000.0,26700000.0,5.6,519,8,1800000.0,41034350.0,70165900.0,tt1320244,"Drama,Horror,Thriller",5.6,45815
The Next Three Days,21100000.0,46300000.0,7.0,1469,11,30000000.0,21148651.0,67255916.0,tt1458175,"Action,Crime,Drama",7.4,168066
Skyline,21400000.0,45400000.0,4.8,833,11,10000000.0,21416355.0,68264973.0,tt1564585,"Action,Sci-Fi,Thriller",4.4,83710
Hot Tub Time Machine,50300000.0,14300000.0,6.0,1383,3,36000000.0,50269859.0,65967750.0,tt1231587,"Comedy,Sci-Fi",6.4,153962
Devil,33600000.0,29100000.0,5.9,1516,9,10000000.0,33679655.0,63354114.0,tt1314655,"Horror,Mystery,Thriller",6.2,122080
127 Hours,18300000.0,42400000.0,7.0,4469,11,18000000.0,18335230.0,60217171.0,tt1542344,"Adventure,Biography,Drama",7.6,323949
Secretariat,59700000.0,537000.0,7.0,200,10,35000000.0,59699513.0,60376247.0,tt1028576,"Biography,Drama,Family",7.2,24536
The Ghost Writer,15500000.0,44700000.0,6.8,1135,2,45000000.0,15541549.0,65532491.0,tt1139328,"Drama,Mystery,Thriller",7.2,148274
Morning Glory,31000000.0,29000000.0,6.3,717,11,40000000.0,31011732.0,59795070.0,tt1126618,"Comedy,Drama,Romance",6.5,67367
Remember Me,19100000.0,37000000.0,7.1,2079,3,16000000.0,19068240.0,56506120.0,tt1403981,"Drama,Romance",7.1,129443
Cop Out,44900000.0,10700000.0,5.4,796,2,37000000.0,44875481.0,55909910.0,tt1385867,"Action,Comedy,Crime",5.6,81656
The Crazies,39100000.0,15700000.0,6.2,1036,2,19000000.0,39123589.0,56445534.0,tt0455407,"Horror,Thriller",6.5,104465
The Switch,27800000.0,22100000.0,6.1,1008,8,19000000.0,27758465.0,49858465.0,tt0889573,"Comedy,Drama,Romance",6.1,90661
She's Out of My League,32000000.0,17800000.0,6.1,970,3,20000000.0,32010860.0,48680977.0,tt0815236,"Comedy,Romance",6.4,117245
Charlie St. Cloud,31200000.0,17000000.0,6.9,1398,5,44000000.0,31206263.0,48478084.0,tt1438254,"Drama,Fantasy,Romance",6.5,55016
The Spy Next Door,24300000.0,20900000.0,5.7,650,1,28000000.0,24307106.0,46752858.0,tt1273678,"Action,Comedy,Family",5.5,36767
Machete,26600000.0,17500000.0,6.3,1862,9,12500000.0,26593646.0,46370970.0,tt0985694,"Action,Crime,Thriller",6.6,182320
Going the Distance,17800000.0,24200000.0,6.0,394,9,32000000.0,17804299.0,43603990.0,tt1322312,"Comedy,Romance",6.3,54421
For Colored Girls,37700000.0,17300.0,6.8,33,11,21000000.0,37729698.0,38017873.0,tt1405500,Drama,6.1,6728
Furry Vengeance,17600000.0,18600000.0,4.6,283,4,35000000.0,17630465.0,39340177.0,tt0492389,"Comedy,Family",3.8,14700
Faster,23200000.0,12400000.0,6.2,895,11,24000000.0,23240020.0,35792945.0,tt1433108,"Action,Crime,Drama",6.5,93618
The Kids Are All Right,20800000.0,13900000.0,6.6,854,7,4000000.0,20811365.0,36275469.0,tt0842926,"Comedy,Drama,Romance",7.0,120656
You Will Meet a Tall Dark Stranger,3200000.0,31000000.0,5.8,431,5,15000000.0,3247816.0,34247816.0,tt1182350,"Comedy,Drama,Romance",6.3,41608
Leap Year,25900000.0,6700000.0,6.7,990,1,19000000.0,25918920.0,32618920.0,tt1216492,"Comedy,Romance",6.5,86125
Leap Year,25900000.0,6700000.0,6.7,990,1,19000000.0,25918920.0,32618920.0,tt1537401,"Drama,Romance",5.9,2211
Leap Year,25900000.0,6700000.0,5.6,30,6,19000000.0,25918920.0,32618920.0,tt1216492,"Comedy,Romance",6.5,86125
Leap Year,25900000.0,6700000.0,5.6,30,6,19000000.0,25918920.0,32618920.0,tt1537401,"Drama,Romance",5.9,2211
You Again,25700000.0,6300000.0,6.2,734,9,20000000.0,25702053.0,32838945.0,tt1414382,"Comedy,Family,Romance",5.8,46690
The Losers,23600000.0,5800000.0,6.2,844,4,25000000.0,23591432.0,29863840.0,tt0480255,"Action,Adventure,Crime",6.4,83876
Ramona and Beezus,26200000.0,1100000.0,6.3,460,7,15000000.0,26167002.0,27469621.0,tt0493949,"Adventure,Comedy,Family",6.6,16086
Let Me In,12100000.0,12000000.0,6.7,1061,10,20000000.0,12134935.0,28270399.0,tt1228987,"Drama,Fantasy,Horror",7.1,107012
Let Me In,12100000.0,12000000.0,7.0,2,6,20000000.0,12134935.0,28270399.0,tt1228987,"Drama,Fantasy,Horror",7.1,107012
Just Wright,21500000.0,29900.0,6.2,211,5,12000000.0,21540363.0,21867665.0,tt1407061,"Comedy,Romance,Sport",5.9,12466
Our Family Wedding,20300000.0,1200000.0,5.5,57,3,14000000.0,20255281.0,21410546.0,tt1305583,"Comedy,Romance",4.9,6417
My Soul to Take,14700000.0,6200000.0,5.4,247,10,25000000.0,14744435.0,16727470.0,tt0872230,"Horror,Mystery,Thriller",4.8,18381
Country Strong,20200000.0,310000.0,6.3,126,12,15000000.0,20218921.0,20601987.0,tt1555064,"Drama,Music",6.3,16296
Another Year,3200000.0,16500000.0,7.0,150,12,8000000.0,3205706.0,20005613.0,tt1431181,"Comedy,Drama",7.3,26273
Another Year,3200000.0,16500000.0,7.0,150,12,8000000.0,3205706.0,20005613.0,tt3508808,"Drama,Romance",6.6,294
Another Year,3200000.0,16500000.0,7.0,150,12,8000000.0,3205706.0,20005613.0,tt5886728,Documentary,7.2,40
Another Year,3200000.0,16500000.0,6.3,4,3,8000000.0,3205706.0,20005613.0,tt1431181,"Comedy,Drama",7.3,26273
